attendance_id,employee_id,attendance_date,status,check_in,check_out,overtime_hours,year,month,month_name,day_name
ATT034397,EMP00002,2026-07-08,Present,09:19:00,20:13:00,0.0,2026,7,July,Wednesday
ATT025569,EMP00003,2025-02-04,Present,09:03:00,19:32:00,1.5,2025,2,February,Tuesday
ATT034631,EMP00003,2025-02-09,Work From Home,10:21:00,17:47:00,0.0,2025,2,February,Sunday
ATT031507,EMP00003,2025-02-12,Present,08:02:00,17:10:00,0.0,2025,2,February,Wednesday
ATT026500,EMP00003,2025-03-13,On Leave,,,0.0,2025,3,March,Thursday
ATT025635,EMP00003,2025-04-06,Present,08:19:00,20:38:00,0.0,2025,4,April,Sunday
ATT023689,EMP00003,2025-05-12,Present,08:21:00,17:02:00,0.0,2025,5,May,Monday
ATT010903,EMP00003,2025-06-04,Absent,,,0.0,2025,6,June,Wednesday
ATT020939,EMP00003,2025-08-02,Work From Home,09:05:00,17:24:00,0.0,2025,8,August,Saturday
ATT039900,EMP00003,2025-08-17,Present,10:32:00,18:11:00,1.0,2025,8,August,Sunday
ATT012256,EMP00003,2025-09-16,Present,10:50:00,20:30:00,0.0,2025,9,September,Tuesday
ATT019386,EMP00003,2025-10-12,Present,10:29:00,19:57:00,0.0,2025,10,October,Sunday
ATT038478,EMP00003,2025-11-09,Present,10:20:00,17:41:00,0.0,2025,11,November,Sunday
ATT001363,EMP00003,2025-11-15,Present,08:09:00,19:25:00,0.0,2025,11,November,Saturday
ATT031935,EMP00003,2025-11-21,On Leave,,,0.0,2025,11,November,Friday
ATT038185,EMP00003,2025-12-08,Present,10:44:00,17:37:00,0.0,2025,12,December,Monday
ATT020417,EMP00003,2025-12-15,Present,10:01:00,18:29:00,0.0,2025,12,December,Monday
ATT037190,EMP00003,2026-01-04,On Leave,,,0.0,2026,1,January,Sunday
ATT029935,EMP00003,2026-01-20,Work From Home,08:19:00,19:53:00,0.0,2026,1,January,Tuesday
ATT012240,EMP00003,2026-02-27,Half Day,09:35:00,17:32:00,0.0,2026,2,February,Friday
ATT015011,EMP00003,2026-05-03,Present,10:57:00,19:20:00,0.0,2026,5,May,Sunday
ATT013935,EMP00003,2026-05-13,Work From Home,10:52:00,19:52:00,0.0,2026,5,May,Wednesday
ATT004111,EMP00003,2026-06-27,Present,10:05:00,17:20:00,0.0,2026,6,June,Saturday
ATT033181,EMP00003,2026-07-02,On Leave,,,0.0,2026,7,July,Thursday
ATT006828,EMP00003,2026-07-15,Present,09:28:00,19:06:00,0.0,2026,7,July,Wednesday
ATT002890,EMP00004,2025-05-15,Present,10:41:00,18:09:00,0.0,2025,5,May,Thursday
ATT039231,EMP00004,2025-07-22,Present,09:05:00,17:29:00,1.6,2025,7,July,Tuesday
ATT021952,EMP00004,2025-10-26,On Leave,,,0.0,2025,10,October,Sunday
ATT027867,EMP00004,2025-11-05,Present,09:05:00,17:49:00,0.0,2025,11,November,Wednesday
ATT041038,EMP00004,2026-01-12,On Leave,,,0.0,2026,1,January,Monday
ATT040704,EMP00004,2026-03-30,Present,08:01:00,18:27:00,0.0,2026,3,March,Monday
ATT012715,EMP00004,2026-07-19,Present,08:08:00,20:10:00,2.3,2026,7,July,Sunday
ATT026751,EMP00005,2025-01-06,Present,10:13:00,18:03:00,0.0,2025,1,January,Monday
ATT032489,EMP00005,2025-04-15,Present,09:19:00,20:44:00,0.0,2025,4,April,Tuesday
ATT018936,EMP00005,2025-06-14,Present,08:44:00,20:39:00,0.0,2025,6,June,Saturday
ATT005549,EMP00005,2025-07-02,Present,10:03:00,19:01:00,0.0,2025,7,July,Wednesday
ATT004056,EMP00005,2025-08-29,Present,08:24:00,19:11:00,0.0,2025,8,August,Friday
ATT032627,EMP00005,2025-10-31,On Leave,,,0.0,2025,10,October,Friday
ATT002129,EMP00005,2026-01-25,Absent,,,0.0,2026,1,January,Sunday
ATT012615,EMP00005,2026-03-26,Work From Home,10:17:00,19:59:00,0.0,2026,3,March,Thursday
ATT017666,EMP00005,2026-06-20,Present,08:45:00,19:57:00,1.7,2026,6,June,Saturday
ATT001392,EMP00005,2026-06-21,On Leave,,,0.0,2026,6,June,Sunday
ATT023633,EMP00006,2025-03-24,Present,08:18:00,19:03:00,3.7,2025,3,March,Monday
ATT021176,EMP00006,2025-07-05,Present,08:16:00,17:44:00,1.8,2025,7,July,Saturday
ATT011389,EMP00006,2025-10-05,Absent,,,0.0,2025,10,October,Sunday
ATT006915,EMP00006,2025-10-17,Present,08:14:00,18:05:00,0.0,2025,10,October,Friday
ATT021644,EMP00006,2025-12-09,Present,10:46:00,18:19:00,0.7,2025,12,December,Tuesday
ATT018306,EMP00006,2026-02-04,Present,09:20:00,17:09:00,3.8,2026,2,February,Wednesday
ATT011162,EMP00006,2026-02-28,Present,08:00:00,19:34:00,0.0,2026,2,February,Saturday
ATT018734,EMP00006,2026-03-06,Absent,,,0.0,2026,3,March,Friday
ATT024908,EMP00006,2026-04-20,Half Day,09:56:00,18:45:00,0.0,2026,4,April,Monday
ATT032425,EMP00006,2026-05-20,Present,10:04:00,18:25:00,3.7,2026,5,May,Wednesday
ATT037374,EMP00006,2026-06-30,Present,10:20:00,19:12:00,0.0,2026,6,June,Tuesday
ATT000626,EMP00006,2026-07-14,On Leave,,,0.0,2026,7,July,Tuesday
ATT010301,EMP00007,2025-02-15,Present,10:34:00,18:56:00,1.6,2025,2,February,Saturday
ATT012589,EMP00007,2025-03-16,Present,09:35:00,20:52:00,0.0,2025,3,March,Sunday
ATT003630,EMP00007,2025-05-06,Present,08:43:00,18:49:00,0.0,2025,5,May,Tuesday
ATT015172,EMP00007,2025-06-14,On Leave,,,0.0,2025,6,June,Saturday
ATT041380,EMP00007,2025-07-02,Present,08:02:00,19:58:00,0.0,2025,7,July,Wednesday
ATT005441,EMP00007,2025-07-29,Work From Home,10:06:00,20:59:00,0.0,2025,7,July,Tuesday
ATT012641,EMP00007,2025-08-07,On Leave,,,0.0,2025,8,August,Thursday
ATT039752,EMP00007,2025-12-22,Work From Home,10:27:00,19:56:00,0.0,2025,12,December,Monday
ATT024653,EMP00007,2025-12-23,Present,08:56:00,18:40:00,0.0,2025,12,December,Tuesday
ATT015590,EMP00007,2025-12-24,Present,09:28:00,20:59:00,0.0,2025,12,December,Wednesday
ATT031600,EMP00007,2026-05-07,Absent,,,0.0,2026,5,May,Thursday
ATT041150,EMP00007,2026-05-14,Present,10:15:00,20:27:00,0.0,2026,5,May,Thursday
ATT029507,EMP00008,2025-04-03,Present,09:01:00,19:52:00,0.0,2025,4,April,Thursday
ATT026637,EMP00008,2025-04-24,Present,10:10:00,17:52:00,0.0,2025,4,April,Thursday
ATT003563,EMP00008,2025-05-01,Present,10:29:00,17:31:00,0.0,2025,5,May,Thursday
ATT039594,EMP00008,2025-05-20,Present,08:02:00,17:21:00,0.0,2025,5,May,Tuesday
ATT014799,EMP00008,2025-06-01,On Leave,,,0.0,2025,6,June,Sunday
ATT029213,EMP00008,2025-07-03,Work From Home,09:23:00,19:08:00,0.0,2025,7,July,Thursday
ATT041498,EMP00008,2025-07-15,Work From Home,09:57:00,20:05:00,0.0,2025,7,July,Tuesday
ATT002826,EMP00008,2025-08-20,Present,10:44:00,17:53:00,0.0,2025,8,August,Wednesday
ATT037919,EMP00008,2025-08-23,On Leave,,,0.0,2025,8,August,Saturday
ATT031408,EMP00008,2025-11-03,Present,10:29:00,19:53:00,2.1,2025,11,November,Monday
ATT003713,EMP00008,2025-12-29,Present,10:08:00,17:20:00,0.0,2025,12,December,Monday
ATT025474,EMP00008,2026-03-05,Present,08:34:00,18:05:00,0.0,2026,3,March,Thursday
ATT036679,EMP00008,2026-03-27,Absent,,,0.0,2026,3,March,Friday
ATT008425,EMP00008,2026-04-07,Work From Home,08:24:00,17:57:00,0.0,2026,4,April,Tuesday
ATT004102,EMP00008,2026-06-02,Work From Home,08:35:00,20:11:00,0.0,2026,6,June,Tuesday
ATT006910,EMP00008,2026-06-24,Present,09:12:00,20:22:00,0.0,2026,6,June,Wednesday
ATT013809,EMP00009,2025-02-13,Present,08:41:00,20:37:00,1.8,2025,2,February,Thursday
ATT025610,EMP00009,2025-03-08,Present,09:23:00,20:31:00,0.0,2025,3,March,Saturday
ATT000604,EMP00009,2025-03-18,Present,09:59:00,17:04:00,0.0,2025,3,March,Tuesday
ATT023401,EMP00009,2025-03-23,On Leave,,,0.0,2025,3,March,Sunday
ATT011810,EMP00009,2025-05-31,Work From Home,09:05:00,17:46:00,0.0,2025,5,May,Saturday
ATT036412,EMP00009,2025-06-19,Present,10:47:00,19:21:00,0.0,2025,6,June,Thursday
ATT010653,EMP00009,2025-07-03,Present,08:08:00,20:39:00,0.0,2025,7,July,Thursday
ATT040801,EMP00009,2025-07-08,Present,10:33:00,19:51:00,0.0,2025,7,July,Tuesday
ATT038136,EMP00009,2025-08-08,Present,08:09:00,18:03:00,0.0,2025,8,August,Friday
ATT033399,EMP00009,2025-09-02,Present,08:12:00,18:02:00,1.0,2025,9,September,Tuesday
ATT009417,EMP00009,2025-10-19,Present,10:36:00,19:57:00,0.0,2025,10,October,Sunday
ATT003554,EMP00009,2026-02-28,Present,09:30:00,19:50:00,0.0,2026,2,February,Saturday
ATT037635,EMP00009,2026-04-03,Present,09:05:00,20:37:00,0.0,2026,4,April,Friday
ATT006161,EMP00009,2026-04-23,Present,08:48:00,20:26:00,2.4,2026,4,April,Thursday
ATT012065,EMP00010,2025-07-04,On Leave,,,0.0,2025,7,July,Friday
ATT037145,EMP00010,2025-07-10,Present,10:26:00,20:39:00,2.5,2025,7,July,Thursday
ATT037259,EMP00010,2025-07-14,Half Day,10:01:00,18:57:00,0.0,2025,7,July,Monday
ATT001192,EMP00010,2025-10-23,On Leave,,,0.0,2025,10,October,Thursday
ATT034149,EMP00010,2026-01-06,Present,09:52:00,20:37:00,0.0,2026,1,January,Tuesday
ATT005604,EMP00010,2026-05-06,On Leave,,,0.0,2026,5,May,Wednesday
ATT031655,EMP00011,2025-01-18,Work From Home,09:29:00,18:20:00,0.0,2025,1,January,Saturday
ATT012350,EMP00011,2025-03-11,Absent,,,0.0,2025,3,March,Tuesday
ATT040109,EMP00011,2025-03-18,Present,08:53:00,17:26:00,0.0,2025,3,March,Tuesday
ATT008943,EMP00011,2025-04-05,Present,10:44:00,17:14:00,2.8,2025,4,April,Saturday
ATT023325,EMP00011,2025-04-26,Present,10:20:00,19:08:00,0.0,2025,4,April,Saturday
ATT032972,EMP00011,2025-07-01,Present,08:14:00,17:46:00,0.0,2025,7,July,Tuesday
ATT036327,EMP00011,2025-10-03,Half Day,08:50:00,19:50:00,0.0,2025,10,October,Friday
ATT031590,EMP00011,2025-10-26,Work From Home,09:34:00,20:49:00,0.0,2025,10,October,Sunday
ATT038869,EMP00011,2026-01-06,Work From Home,08:06:00,18:09:00,0.0,2026,1,January,Tuesday
ATT041692,EMP00011,2026-03-05,Present,09:19:00,20:21:00,0.0,2026,3,March,Thursday
ATT003268,EMP00012,2025-01-23,Work From Home,10:45:00,17:46:00,0.0,2025,1,January,Thursday
ATT005887,EMP00012,2025-01-24,Work From Home,10:20:00,20:42:00,0.0,2025,1,January,Friday
ATT013940,EMP00012,2025-03-27,Present,09:55:00,19:21:00,1.8,2025,3,March,Thursday
ATT036455,EMP00012,2025-04-18,Absent,,,0.0,2025,4,April,Friday
ATT004452,EMP00012,2025-05-10,Present,09:54:00,20:54:00,2.2,2025,5,May,Saturday
ATT025280,EMP00012,2025-05-16,Work From Home,09:14:00,18:14:00,0.0,2025,5,May,Friday
ATT038023,EMP00012,2025-05-25,Present,09:36:00,17:59:00,0.0,2025,5,May,Sunday
ATT031479,EMP00012,2025-06-22,Present,08:54:00,17:59:00,0.0,2025,6,June,Sunday
ATT004316,EMP00012,2025-09-01,Present,10:50:00,17:44:00,0.0,2025,9,September,Monday
ATT038824,EMP00012,2025-09-13,Present,10:34:00,17:23:00,1.3,2025,9,September,Saturday
ATT015255,EMP00012,2025-12-12,Present,09:36:00,18:48:00,0.0,2025,12,December,Friday
ATT037255,EMP00012,2026-02-06,Present,09:03:00,20:41:00,0.0,2026,2,February,Friday
ATT031334,EMP00012,2026-05-31,Present,08:29:00,20:54:00,0.0,2026,5,May,Sunday
ATT030128,EMP00013,2025-04-13,Present,09:25:00,18:40:00,0.0,2025,4,April,Sunday
ATT031754,EMP00013,2025-04-20,Present,08:04:00,17:03:00,0.0,2025,4,April,Sunday
ATT020222,EMP00013,2025-05-28,Present,10:31:00,19:43:00,0.0,2025,5,May,Wednesday
ATT016414,EMP00013,2025-06-16,Present,09:33:00,18:07:00,0.0,2025,6,June,Monday
ATT015750,EMP00013,2025-07-28,Present,08:18:00,20:30:00,0.0,2025,7,July,Monday
ATT004655,EMP00013,2025-08-25,Present,09:56:00,17:13:00,0.0,2025,8,August,Monday
ATT034756,EMP00013,2025-09-12,Half Day,08:19:00,20:10:00,0.0,2025,9,September,Friday
ATT037088,EMP00013,2025-10-21,Half Day,09:04:00,20:23:00,0.0,2025,10,October,Tuesday
ATT005882,EMP00013,2025-10-25,Present,09:45:00,19:49:00,0.0,2025,10,October,Saturday
ATT007727,EMP00013,2025-12-06,Present,08:31:00,19:55:00,0.0,2025,12,December,Saturday
ATT021734,EMP00013,2025-12-11,Present,10:40:00,17:30:00,0.0,2025,12,December,Thursday
ATT015385,EMP00013,2026-02-02,On Leave,,,0.0,2026,2,February,Monday
ATT011557,EMP00013,2026-02-22,Present,09:41:00,19:21:00,0.0,2026,2,February,Sunday
ATT001925,EMP00013,2026-03-01,Present,10:28:00,19:18:00,0.0,2026,3,March,Sunday
ATT019465,EMP00013,2026-04-20,Present,10:47:00,20:53:00,0.0,2026,4,April,Monday
ATT038038,EMP00013,2026-05-06,Present,10:07:00,17:35:00,3.3,2026,5,May,Wednesday
ATT039764,EMP00013,2026-05-13,Present,09:45:00,18:39:00,0.0,2026,5,May,Wednesday
ATT020668,EMP00014,2025-01-16,Present,09:43:00,17:05:00,0.0,2025,1,January,Thursday
ATT017043,EMP00014,2025-01-24,Present,09:20:00,19:40:00,0.0,2025,1,January,Friday
ATT013558,EMP00014,2025-01-26,Present,08:48:00,18:31:00,0.0,2025,1,January,Sunday
ATT000298,EMP00014,2025-02-09,On Leave,,,0.0,2025,2,February,Sunday
ATT002638,EMP00014,2025-02-21,Absent,,,0.0,2025,2,February,Friday
ATT022169,EMP00014,2025-03-02,Present,08:10:00,17:40:00,0.0,2025,3,March,Sunday
ATT032749,EMP00014,2025-03-08,Present,09:29:00,17:35:00,0.0,2025,3,March,Saturday
ATT034840,EMP00014,2025-04-24,Present,09:13:00,18:04:00,0.0,2025,4,April,Thursday
ATT040326,EMP00014,2025-06-11,Present,08:44:00,17:01:00,0.0,2025,6,June,Wednesday
ATT017580,EMP00014,2025-09-15,Present,08:01:00,19:18:00,0.0,2025,9,September,Monday
ATT014238,EMP00014,2025-12-11,Present,10:49:00,18:20:00,0.0,2025,12,December,Thursday
ATT038199,EMP00014,2026-01-13,Present,09:41:00,19:26:00,1.1,2026,1,January,Tuesday
ATT025637,EMP00014,2026-04-04,Present,08:59:00,18:58:00,0.0,2026,4,April,Saturday
ATT039373,EMP00014,2026-04-14,Present,09:42:00,19:43:00,0.0,2026,4,April,Tuesday
ATT014324,EMP00014,2026-05-12,Present,09:11:00,17:58:00,0.0,2026,5,May,Tuesday
ATT017410,EMP00014,2026-06-20,Present,08:01:00,18:38:00,0.0,2026,6,June,Saturday
ATT009750,EMP00014,2026-07-13,Work From Home,09:07:00,19:28:00,0.0,2026,7,July,Monday
ATT016193,EMP00015,2025-02-16,Present,10:27:00,17:42:00,0.0,2025,2,February,Sunday
ATT010370,EMP00015,2025-03-09,Present,08:24:00,17:27:00,3.6,2025,3,March,Sunday
ATT012005,EMP00015,2025-04-19,Present,08:56:00,20:49:00,0.0,2025,4,April,Saturday
ATT012614,EMP00015,2025-05-08,Present,10:25:00,18:32:00,0.0,2025,5,May,Thursday
ATT027033,EMP00015,2025-06-24,Present,08:53:00,17:24:00,0.0,2025,6,June,Tuesday
ATT019128,EMP00015,2025-07-11,Present,10:21:00,17:24:00,0.0,2025,7,July,Friday
ATT040426,EMP00015,2025-09-27,Present,08:27:00,18:25:00,0.0,2025,9,September,Saturday
ATT037736,EMP00015,2025-12-17,Present,10:55:00,20:26:00,0.0,2025,12,December,Wednesday
ATT040150,EMP00015,2026-01-08,Work From Home,10:15:00,19:28:00,0.0,2026,1,January,Thursday
ATT037702,EMP00015,2026-03-14,Present,08:56:00,17:03:00,0.0,2026,3,March,Saturday
ATT015552,EMP00015,2026-03-30,On Leave,,,0.0,2026,3,March,Monday
ATT016429,EMP00015,2026-04-16,On Leave,,,0.0,2026,4,April,Thursday
ATT036852,EMP00015,2026-06-08,Half Day,09:00:00,18:14:00,0.0,2026,6,June,Monday
ATT039704,EMP00016,2025-01-27,Present,08:35:00,18:17:00,0.0,2025,1,January,Monday
ATT021144,EMP00016,2025-06-01,Present,08:25:00,20:09:00,0.0,2025,6,June,Sunday
ATT037405,EMP00016,2025-07-18,On Leave,,,0.0,2025,7,July,Friday
ATT009050,EMP00016,2025-08-04,Present,08:47:00,19:56:00,3.9,2025,8,August,Monday
ATT027388,EMP00016,2025-09-14,On Leave,,,0.0,2025,9,September,Sunday
ATT024494,EMP00016,2025-09-29,Present,10:45:00,19:45:00,0.9,2025,9,September,Monday
ATT017651,EMP00016,2025-12-04,Present,08:29:00,18:26:00,0.7,2025,12,December,Thursday
ATT034160,EMP00016,2026-01-06,Present,10:48:00,17:59:00,3.8,2026,1,January,Tuesday
ATT026273,EMP00016,2026-01-15,Present,09:18:00,20:32:00,0.0,2026,1,January,Thursday
ATT020339,EMP00016,2026-04-26,Present,10:41:00,19:49:00,0.0,2026,4,April,Sunday
ATT008900,EMP00016,2026-05-27,Present,08:50:00,18:05:00,0.0,2026,5,May,Wednesday
ATT010754,EMP00016,2026-07-07,Present,10:15:00,17:01:00,0.0,2026,7,July,Tuesday
ATT039271,EMP00017,2025-01-11,Present,08:34:00,19:06:00,0.0,2025,1,January,Saturday
ATT004661,EMP00017,2025-03-17,Present,10:09:00,20:12:00,0.0,2025,3,March,Monday
ATT038726,EMP00017,2025-07-21,Present,08:27:00,18:00:00,3.2,2025,7,July,Monday
ATT005470,EMP00017,2025-08-15,Present,09:50:00,18:36:00,0.7,2025,8,August,Friday
ATT010199,EMP00017,2025-10-27,Present,09:26:00,18:11:00,0.0,2025,10,October,Monday
ATT019197,EMP00017,2026-01-09,Present,09:04:00,19:19:00,1.3,2026,1,January,Friday
ATT018178,EMP00017,2026-01-13,Work From Home,10:05:00,20:46:00,0.0,2026,1,January,Tuesday
ATT015638,EMP00017,2026-01-23,Absent,,,0.0,2026,1,January,Friday
ATT003572,EMP00017,2026-03-15,Present,08:38:00,20:58:00,3.8,2026,3,March,Sunday
ATT029172,EMP00017,2026-07-10,On Leave,,,0.0,2026,7,July,Friday
ATT024700,EMP00018,2025-01-28,Present,08:41:00,18:38:00,0.0,2025,1,January,Tuesday
ATT040294,EMP00018,2025-04-01,Present,08:36:00,17:56:00,0.0,2025,4,April,Tuesday
ATT020523,EMP00018,2025-05-23,Present,09:21:00,19:17:00,0.0,2025,5,May,Friday
ATT012360,EMP00018,2025-09-03,Present,09:56:00,19:39:00,0.0,2025,9,September,Wednesday
ATT038994,EMP00018,2025-09-08,Half Day,09:44:00,20:20:00,0.0,2025,9,September,Monday
ATT003815,EMP00018,2025-10-09,On Leave,,,0.0,2025,10,October,Thursday
ATT003854,EMP00018,2026-02-26,Present,09:56:00,17:46:00,0.0,2026,2,February,Thursday
ATT033144,EMP00018,2026-03-01,On Leave,,,0.0,2026,3,March,Sunday
ATT035052,EMP00018,2026-04-11,Present,10:08:00,20:12:00,0.0,2026,4,April,Saturday
ATT000027,EMP00018,2026-05-24,Work From Home,10:07:00,18:03:00,0.0,2026,5,May,Sunday
ATT011411,EMP00019,2025-01-02,Present,09:02:00,20:00:00,0.0,2025,1,January,Thursday
ATT039959,EMP00019,2025-01-09,Present,10:58:00,19:55:00,1.1,2025,1,January,Thursday
ATT026255,EMP00019,2025-02-02,Present,10:20:00,18:14:00,2.8,2025,2,February,Sunday
ATT028450,EMP00019,2025-03-14,Present,08:33:00,18:27:00,0.5,2025,3,March,Friday
ATT010108,EMP00019,2025-07-12,Present,10:56:00,17:02:00,0.0,2025,7,July,Saturday
ATT007924,EMP00019,2025-07-15,Work From Home,09:52:00,19:56:00,0.0,2025,7,July,Tuesday
ATT026827,EMP00019,2025-09-05,Present,08:00:00,19:52:00,0.0,2025,9,September,Friday
ATT038205,EMP00019,2025-10-03,Present,08:27:00,18:04:00,0.0,2025,10,October,Friday
ATT027732,EMP00019,2025-11-28,Present,10:02:00,17:09:00,1.8,2025,11,November,Friday
ATT028078,EMP00019,2025-12-18,Present,10:10:00,20:32:00,0.0,2025,12,December,Thursday
ATT027282,EMP00019,2026-01-05,Present,09:05:00,18:10:00,3.2,2026,1,January,Monday
ATT004363,EMP00019,2026-04-11,Present,10:03:00,17:39:00,0.0,2026,4,April,Saturday
ATT030442,EMP00019,2026-05-01,Present,10:29:00,18:05:00,0.0,2026,5,May,Friday
ATT009824,EMP00019,2026-05-10,Absent,,,0.0,2026,5,May,Sunday
ATT019049,EMP00019,2026-06-05,Present,09:16:00,19:13:00,2.2,2026,6,June,Friday
ATT014055,EMP00019,2026-06-08,Present,08:55:00,18:36:00,0.0,2026,6,June,Monday
ATT029703,EMP00020,2025-04-04,Present,09:35:00,20:51:00,2.2,2025,4,April,Friday
ATT020654,EMP00020,2025-06-21,On Leave,,,0.0,2025,6,June,Saturday
ATT040528,EMP00020,2025-11-14,Present,10:32:00,18:58:00,0.0,2025,11,November,Friday
ATT001279,EMP00020,2025-12-05,Present,10:15:00,17:06:00,0.0,2025,12,December,Friday
ATT005325,EMP00020,2026-02-21,Present,10:03:00,20:32:00,0.0,2026,2,February,Saturday
ATT009627,EMP00020,2026-05-02,Present,10:38:00,19:36:00,0.0,2026,5,May,Saturday
ATT038098,EMP00020,2026-05-15,Present,09:20:00,18:14:00,0.0,2026,5,May,Friday
ATT003562,EMP00020,2026-06-09,Present,08:14:00,19:11:00,1.5,2026,6,June,Tuesday
ATT017779,EMP00021,2025-01-16,Present,10:54:00,17:18:00,0.0,2025,1,January,Thursday
ATT040090,EMP00021,2025-03-13,Present,10:31:00,17:22:00,0.0,2025,3,March,Thursday
ATT002493,EMP00021,2025-04-19,Half Day,10:14:00,17:39:00,0.0,2025,4,April,Saturday
ATT037822,EMP00021,2025-05-26,Present,08:50:00,20:46:00,0.0,2025,5,May,Monday
ATT018661,EMP00021,2025-05-28,On Leave,,,0.0,2025,5,May,Wednesday
ATT015137,EMP00021,2025-06-24,Present,09:33:00,19:07:00,0.0,2025,6,June,Tuesday
ATT021068,EMP00021,2025-10-05,Present,08:00:00,19:41:00,0.0,2025,10,October,Sunday
ATT015600,EMP00021,2026-05-07,Present,10:12:00,18:51:00,0.0,2026,5,May,Thursday
ATT030467,EMP00022,2025-01-21,Present,10:55:00,19:28:00,0.0,2025,1,January,Tuesday
ATT019048,EMP00022,2025-04-10,Present,08:26:00,20:29:00,0.0,2025,4,April,Thursday
ATT018475,EMP00022,2025-05-08,Work From Home,08:07:00,19:37:00,0.0,2025,5,May,Thursday
ATT002864,EMP00022,2025-06-23,Absent,,,0.0,2025,6,June,Monday
ATT038406,EMP00022,2025-08-17,Present,09:08:00,20:27:00,1.6,2025,8,August,Sunday
ATT003411,EMP00022,2025-09-03,Present,10:22:00,17:22:00,0.0,2025,9,September,Wednesday
ATT039997,EMP00022,2025-09-22,Present,09:26:00,18:10:00,0.0,2025,9,September,Monday
ATT021153,EMP00022,2025-10-23,Present,08:34:00,18:36:00,0.0,2025,10,October,Thursday
ATT028655,EMP00022,2025-12-06,On Leave,,,0.0,2025,12,December,Saturday
ATT016012,EMP00022,2025-12-21,Present,10:45:00,20:33:00,8.4,2025,12,December,Sunday
ATT016982,EMP00022,2026-03-06,Present,09:51:00,18:30:00,0.0,2026,3,March,Friday
ATT009384,EMP00022,2026-04-09,Present,08:12:00,19:32:00,0.0,2026,4,April,Thursday
ATT006817,EMP00022,2026-04-16,Work From Home,10:01:00,18:58:00,0.0,2026,4,April,Thursday
ATT029483,EMP00022,2026-05-01,Present,10:50:00,17:30:00,2.1,2026,5,May,Friday
ATT011857,EMP00022,2026-05-17,Absent,,,0.0,2026,5,May,Sunday
ATT004047,EMP00023,2025-01-15,Work From Home,08:36:00,18:20:00,0.0,2025,1,January,Wednesday
ATT036328,EMP00023,2025-05-28,Present,10:41:00,20:54:00,0.0,2025,5,May,Wednesday
ATT040752,EMP00023,2025-06-14,Absent,,,0.0,2025,6,June,Saturday
ATT018027,EMP00023,2025-07-19,Present,08:10:00,20:53:00,0.0,2025,7,July,Saturday
ATT033323,EMP00023,2025-10-07,Present,08:30:00,19:09:00,0.0,2025,10,October,Tuesday
ATT000680,EMP00023,2026-03-23,Present,09:50:00,19:06:00,0.0,2026,3,March,Monday
ATT041049,EMP00023,2026-05-05,Present,10:46:00,19:22:00,0.7,2026,5,May,Tuesday
ATT016396,EMP00023,2026-05-24,Present,08:57:00,18:41:00,0.0,2026,5,May,Sunday
ATT039697,EMP00023,2026-06-26,Present,08:47:00,17:48:00,0.0,2026,6,June,Friday
ATT015845,EMP00024,2025-01-22,Present,08:24:00,17:46:00,0.0,2025,1,January,Wednesday
ATT003063,EMP00024,2025-01-29,Present,08:01:00,18:53:00,0.0,2025,1,January,Wednesday
ATT038479,EMP00024,2025-03-04,Present,09:27:00,19:05:00,0.0,2025,3,March,Tuesday
