leave_id,employee_id,leave_type,start_date,end_date,days_taken,status
LV00069,EMP00294,Casual Leave,2025-01-19,2025-01-28,9,Rejected
LV00070,EMP03100,Casual Leave,2026-03-17,2026-03-24,7,Pending
LV00071,EMP02052,Unpaid Leave,2025-08-29,2025-09-05,7,Approved
LV00072,EMP00101,Maternity Leave,2025-11-13,2025-11-17,4,Approved
LV00073,EMP01828,Paternity Leave,2026-06-24,2026-06-27,3,Approved
LV00074,EMP00562,Unpaid Leave,2025-02-18,2025-02-21,3,Approved
LV00075,EMP01810,Paternity Leave,2025-01-06,2025-01-16,10,Approved
LV00076,EMP00238,Unpaid Leave,2025-07-22,2025-07-31,9,Approved
LV00077,EMP02534,Unpaid Leave,2026-02-21,2026-02-22,1,Pending
LV00078,EMP00457,Unpaid Leave,2025-01-21,2025-01-28,7,Pending
LV00079,EMP00557,Unpaid Leave,2026-02-23,2026-02-26,3,Approved
LV00080,EMP01085,Sick Leave,2025-02-07,2025-02-17,10,Approved
LV00081,EMP01794,Paternity Leave,2026-03-07,2026-03-08,1,Pending
LV00082,EMP01135,Earned Leave,2025-12-11,2025-12-21,10,Rejected
LV00083,EMP01777,Paternity Leave,2025-06-29,2025-07-04,5,Approved
LV00084,EMP02686,Sick Leave,2025-10-08,2025-10-15,7,Approved
LV00085,EMP02195,Casual Leave,2025-03-01,2025-03-04,3,Rejected
LV00086,EMP01920,Unpaid Leave,2025-07-08,2025-07-16,8,Pending
LV00087,EMP01543,Unpaid Leave,2026-07-09,2026-07-18,9,Approved
LV00088,EMP00974,Maternity Leave,2025-02-07,2025-02-11,4,Approved
LV00089,EMP02747,Earned Leave,2025-06-08,2025-06-18,10,Approved
LV00090,EMP02411,Sick Leave,2026-03-22,2026-04-01,10,Pending
LV00091,EMP01271,Unpaid Leave,2025-06-21,2025-06-24,3,Pending
LV00092,EMP00454,Paternity Leave,2025-08-04,2025-08-05,1,Approved
LV00093,EMP96501,Paternity Leave,2025-06-23,2025-06-26,3,Rejected
LV00094,EMP02977,Earned Leave,2026-02-22,2026-03-03,9,Pending
LV00095,EMP00686,Casual Leave,2025-01-07,2025-01-09,2,Rejected
LV00096,EMP00004,Casual Leave,2025-04-19,2025-04-27,8,Rejected
LV00097,EMP02984,Maternity Leave,2026-01-01,2026-01-06,5,Pending
LV00098,EMP00911,Sick Leave,2026-03-05,2026-03-08,3,Pending
LV00099,EMP02174,Paternity Leave,2025-10-14,2025-10-20,6,Rejected
LV00100,EMP01121,Unpaid Leave,2026-02-16,2026-02-17,1,Pending
LV00101,EMP02674,Earned Leave,2026-06-28,2026-07-04,6,Rejected
LV00102,EMP03181,Earned Leave,2025-10-08,2025-10-17,9,Rejected
LV00103,EMP00135,Casual Leave,2026-05-05,2026-05-15,10,Approved
LV00104,EMP02227,Paternity Leave,2026-01-08,2026-01-11,3,Approved
LV00105,EMP00737,Sick Leave,2026-05-21,2026-05-24,3,Rejected
LV00106,EMP00405,Casual Leave,2025-06-06,2025-06-12,6,Rejected
LV00107,EMP01309,Casual Leave,2026-07-08,2026-07-18,10,Pending
LV00108,EMP00258,Casual Leave,2026-01-15,2026-01-25,10,Approved
LV00109,EMP00463,Maternity Leave,2025-03-09,2025-03-14,5,Pending
LV00110,EMP00599,Maternity Leave,2025-07-15,2025-07-24,9,Approved
LV00111,EMP00397,Casual Leave,2026-02-14,2026-02-22,8,Approved
LV00112,EMP02589,Earned Leave,2026-03-20,2026-03-30,10,Rejected
LV00113,EMP02547,Paternity Leave,2025-07-31,2025-08-09,9,Rejected
LV00114,EMP01780,Paternity Leave,2025-01-02,2025-01-10,8,Pending
LV00115,EMP00933,Unpaid Leave,2026-02-13,2026-02-22,9,Pending
LV00116,EMP01549,Sick Leave,2025-01-11,2025-01-19,8,Rejected
LV00117,EMP01471,Unpaid Leave,2025-09-11,2025-09-18,7,Approved
LV00118,EMP02660,Unpaid Leave,2026-05-10,2026-05-13,3,Approved
LV00119,EMP01057,Paternity Leave,2025-06-09,2025-06-14,5,Rejected
LV00120,EMP00594,Earned Leave,2025-08-29,2025-09-02,4,Rejected
LV00121,EMP02462,Unpaid Leave,2025-09-01,2025-09-05,4,Approved
LV00122,EMP01745,Maternity Leave,2025-02-26,2025-03-08,10,Rejected
LV00123,EMP02816,Maternity Leave,2026-04-11,2026-04-16,5,Rejected
LV00124,EMP02950,Paternity Leave,2026-02-26,2026-03-07,9,Rejected
LV00125,EMP00082,Unpaid Leave,2026-02-08,2026-02-12,4,Rejected
LV00126,EMP00827,Casual Leave,2026-01-14,2026-01-20,6,Pending
LV00127,EMP03124,Earned Leave,2025-09-18,2025-09-26,8,Pending
LV00128,EMP02597,Maternity Leave,2025-05-11,2025-05-20,9,Approved
LV00129,EMP02014,Earned Leave,2026-03-22,2026-03-28,6,Approved
LV00130,EMP02567,Sick Leave,2025-11-01,2025-11-02,1,Approved
LV00131,EMP02686,Maternity Leave,2026-04-08,2026-04-16,8,Pending
LV00132,EMP01561,Unpaid Leave,2025-08-11,2025-08-15,4,Approved
LV00133,EMP00673,Maternity Leave,2026-06-28,2026-07-07,9,Rejected
LV00134,EMP01479,Unpaid Leave,2025-12-22,2025-12-24,2,Rejected
LV00135,EMP00102,Maternity Leave,2025-11-02,2025-11-05,3,Pending
LV00136,EMP01849,Paternity Leave,2025-01-19,2025-01-22,3,Approved
LV00137,EMP92479,Paternity Leave,2025-09-20,2025-09-29,9,Approved
LV00138,EMP02646,Paternity Leave,2026-05-31,2026-06-08,8,Rejected
LV00139,EMP03010,Casual Leave,2026-06-20,2026-06-24,4,Rejected
LV00140,EMP00874,Paternity Leave,2025-06-01,2025-06-05,4,Rejected
LV00141,EMP02673,Unpaid Leave,2026-02-22,2026-03-01,7,Rejected
LV00142,EMP01923,Earned Leave,2025-12-27,2026-01-03,7,Approved
LV00143,EMP02908,Casual Leave,2025-10-15,2025-10-18,3,Rejected
LV00144,EMP00072,Sick Leave,2026-03-14,2026-03-15,1,Approved
LV00145,EMP02928,Unpaid Leave,2026-03-10,2026-03-16,6,Approved
LV00146,EMP00768,Earned Leave,2025-09-27,2025-10-02,5,Pending
LV00147,EMP01099,Sick Leave,2025-08-11,2025-08-20,9,Approved
LV00148,EMP02376,Casual Leave,2025-03-10,2025-03-16,6,Pending
LV00149,EMP01519,Maternity Leave,2025-11-22,2025-12-01,9,Approved
LV00150,EMP00006,Casual Leave,2025-10-23,2025-10-25,2,Pending
LV00151,EMP02336,Casual Leave,2026-04-29,2026-05-07,8,Pending
LV00152,EMP02996,Earned Leave,2025-05-27,2025-05-31,4,Approved
LV00153,EMP01450,Sick Leave,2025-01-11,2025-01-13,2,Pending
LV00154,EMP01398,Casual Leave,2025-07-07,2025-07-11,4,Pending
LV00155,EMP01206,Casual Leave,2025-02-12,2025-02-14,2,Rejected
LV00156,EMP00236,Casual Leave,2025-03-22,2025-04-01,10,Rejected
LV00157,EMP02695,Unpaid Leave,2026-05-21,2026-05-25,4,Pending
LV00158,EMP00501,Paternity Leave,2025-03-25,2025-04-04,10,Rejected
LV00159,EMP01462,Maternity Leave,2025-09-24,2025-09-28,4,Pending
LV00160,EMP01212,Unpaid Leave,2026-01-06,2026-01-14,8,Pending
LV00161,EMP00302,Maternity Leave,2025-10-15,2025-10-23,8,Pending
LV00162,EMP00117,Paternity Leave,2025-02-14,2025-02-19,5,Approved
LV00163,EMP00996,Unpaid Leave,2025-12-16,2025-12-19,3,Approved
LV00164,EMP03102,Maternity Leave,2025-06-01,2025-06-07,6,Rejected
LV00165,EMP02734,Maternity Leave,2026-05-09,2026-05-11,2,Rejected
LV00166,EMP02494,Maternity Leave,2025-09-27,2025-10-05,8,Approved
LV00167,EMP00666,Paternity Leave,2026-05-20,2026-05-24,4,Rejected
LV00168,EMP01194,Unpaid Leave,2025-02-17,2025-02-22,5,Pending
LV00169,EMP02389,Unpaid Leave,2025-06-12,2025-06-20,8,Pending
LV00170,EMP02090,Sick Leave,2025-02-11,2025-02-19,8,Approved
LV00171,EMP02867,Unpaid Leave,2025-02-13,2025-02-18,5,Approved
LV00172,EMP01626,Sick Leave,2026-07-13,2026-07-19,6,Rejected
LV00173,EMP02334,Unpaid Leave,2025-12-11,2025-12-15,4,Approved
LV00174,EMP00914,Sick Leave,2026-07-13,2026-07-23,10,Approved
LV00175,EMP01400,Sick Leave,2025-09-27,2025-10-07,10,Pending
LV00176,EMP00013,Unpaid Leave,2025-08-04,2025-08-14,10,Approved
LV00177,EMP02957,Earned Leave,2026-05-12,2026-05-14,2,Approved
LV00178,EMP00006,Sick Leave,2026-05-23,2026-06-01,9,Pending
LV00179,EMP00292,Unpaid Leave,2025-02-03,2025-02-07,4,Pending
LV00180,EMP02259,Casual Leave,2026-01-19,2026-01-20,1,Approved
LV00181,EMP00290,Sick Leave,2025-11-27,2025-12-03,6,Pending
LV00182,EMP01403,Maternity Leave,2025-04-11,2025-04-21,10,Approved
LV00183,EMP00638,Maternity Leave,2025-05-12,2025-05-17,5,Pending
LV00184,EMP02467,Earned Leave,2026-01-04,2026-01-11,7,Approved
LV00185,EMP01003,Casual Leave,2025-05-26,2025-05-28,2,Rejected
LV00186,EMP00291,Paternity Leave,2025-04-03,2025-04-07,4,Rejected
LV00187,EMP02418,Casual Leave,2025-03-08,2025-03-13,5,Rejected
LV00188,EMP02577,Earned Leave,2025-02-26,2025-03-01,3,Pending
LV00189,EMP02598,Casual Leave,2026-01-12,2026-01-22,10,Pending
LV00190,EMP01882,Maternity Leave,2025-10-25,2025-10-26,1,Approved
LV00191,EMP01377,Maternity Leave,2025-08-31,2025-09-06,6,Rejected
LV00192,EMP00921,Sick Leave,2026-06-13,2026-06-15,2,Pending
LV00193,EMP00066,Paternity Leave,2026-02-02,2026-02-05,3,Approved
LV00194,EMP03055,Maternity Leave,2026-01-08,2026-01-16,8,Approved
LV00195,EMP00862,Casual Leave,2026-05-28,2026-06-06,9,Rejected
LV00196,EMP01923,Paternity Leave,2025-09-11,2025-09-16,5,Approved
LV00197,EMP00313,Unpaid Leave,2025-09-03,2025-09-06,3,Rejected
LV00198,EMP00828,Maternity Leave,2026-06-05,2026-06-14,9,Approved
LV00199,EMP02527,Unpaid Leave,2025-12-30,2026-01-04,5,Approved
LV00200,EMP00390,Maternity Leave,2025-06-04,2025-06-06,2,Rejected
LV00201,EMP02904,Earned Leave,2026-06-01,2026-06-05,4,Pending
LV00202,EMP93124,Maternity Leave,2025-07-22,2025-07-28,6,Pending
LV00203,EMP02738,Earned Leave,2025-03-27,2025-03-31,4,Rejected
LV00204,EMP02506,Maternity Leave,2026-03-01,2026-03-11,10,Approved
LV00205,EMP00835,Earned Leave,2025-12-01,2025-12-05,4,Approved
LV00206,EMP01581,Casual Leave,2025-12-16,2025-12-25,9,Rejected
LV00207,EMP00825,Earned Leave,2025-08-24,2025-08-27,3,Approved
LV00208,EMP00230,Paternity Leave,2025-05-28,2025-06-06,9,Approved
LV00209,EMP02825,Maternity Leave,2025-04-10,2025-04-20,10,Pending
LV00210,EMP98839,Casual Leave,2026-02-16,2026-02-24,8,Pending
LV00211,EMP03109,Maternity Leave,2025-08-20,2025-08-27,7,Rejected
LV00212,EMP01310,Paternity Leave,2026-05-28,2026-06-07,10,Approved
LV00213,EMP00039,Unpaid Leave,2025-05-19,2025-05-20,1,Approved
LV00214,EMP00030,Sick Leave,2026-05-27,2026-05-30,3,Approved
LV00215,EMP02191,Casual Leave,2025-08-29,2025-09-06,8,Pending
LV00216,EMP00345,Paternity Leave,2026-01-23,2026-01-30,7,Rejected
LV00217,EMP00063,Casual Leave,2025-12-27,2026-01-06,10,Pending
LV00218,EMP00457,Sick Leave,2025-10-21,2025-10-27,6,Rejected
LV00219,EMP00086,Casual Leave,2025-03-04,2025-03-06,2,Rejected
LV00220,EMP01556,Unpaid Leave,2026-04-06,2026-04-08,2,Approved
LV00221,EMP01863,Sick Leave,2025-06-19,2025-06-25,6,Rejected
LV00222,EMP02681,Unpaid Leave,2026-07-01,2026-07-03,2,Approved
LV00223,EMP02295,Sick Leave,2026-03-01,2026-03-06,5,Approved
LV00224,EMP00106,Sick Leave,2025-07-07,2025-07-15,8,Pending
LV00225,EMP00041,Paternity Leave,2026-05-28,2026-06-03,6,Rejected
LV00226,EMP02481,Casual Leave,2026-07-03,2026-07-09,6,Rejected
LV00227,EMP03039,Maternity Leave,2026-05-14,2026-05-20,6,Pending
LV00228,EMP00216,Unpaid Leave,2025-10-02,2025-10-05,3,Approved
LV00229,EMP01172,Earned Leave,2025-05-28,2025-06-03,6,Approved
LV00230,EMP02824,Casual Leave,2026-02-08,2026-02-15,7,Pending
LV00231,EMP01882,Paternity Leave,2026-06-13,2026-06-21,8,Rejected
LV00232,EMP00275,Earned Leave,2025-11-22,2025-11-23,1,Pending
LV00233,EMP01176,Earned Leave,2025-03-28,2025-04-06,9,Pending
LV00234,EMP00413,Unpaid Leave,2025-06-12,2025-06-16,4,Approved
LV00235,EMP02627,Paternity Leave,2025-10-15,2025-10-19,4,Approved
LV00236,EMP02439,Maternity Leave,2026-04-19,2026-04-23,4,Pending
LV00237,EMP00208,Earned Leave,2026-06-18,2026-06-24,6,Approved
LV00238,EMP02228,Maternity Leave,2025-09-02,2025-09-10,8,Rejected
LV00239,EMP00908,Unpaid Leave,2025-11-09,2025-11-12,3,Approved
LV00240,EMP00523,Casual Leave,2026-04-28,2026-04-29,1,Pending
LV00241,EMP00525,Paternity Leave,2025-03-10,2025-03-18,8,Approved
LV00242,EMP97737,Maternity Leave,2025-12-16,2025-12-22,6,Rejected
LV00243,EMP00617,Sick Leave,2025-06-11,2025-06-15,4,Approved
LV00244,EMP01541,Sick Leave,2025-05-02,2025-05-09,7,Rejected
LV00245,EMP02620,Paternity Leave,2025-01-27,2025-01-31,4,Rejected
LV00246,EMP02574,Maternity Leave,2025-08-19,2025-08-23,4,Pending
LV00247,EMP00599,Earned Leave,2025-09-27,2025-09-28,1,Rejected
LV00248,EMP01555,Paternity Leave,2026-05-09,2026-05-13,4,Approved
LV00249,EMP01184,Earned Leave,2025-01-05,2025-01-07,2,Rejected
LV00250,EMP01934,Casual Leave,2026-01-25,2026-02-02,8,Pending
LV00251,EMP00570,Casual Leave,2025-10-07,2025-10-08,1,Approved
LV00252,EMP01023,Maternity Leave,2025-07-26,2025-07-31,5,Rejected
LV00253,EMP01259,Earned Leave,2025-07-15,2025-07-23,8,Rejected
LV00254,EMP01858,Sick Leave,2026-06-03,2026-06-09,6,Approved
LV00255,EMP02511,Maternity Leave,2025-11-30,2025-12-01,1,Approved
LV00256,EMP00186,Maternity Leave,2025-05-01,2025-05-07,6,Rejected
LV00257,EMP00009,Earned Leave,2025-09-15,2025-09-21,6,Rejected
LV00258,EMP02837,Unpaid Leave,2026-01-01,2026-01-09,8,Approved
LV00259,EMP01451,Maternity Leave,2025-07-02,2025-07-10,8,Approved
LV00260,EMP00161,Sick Leave,2025-12-14,2025-12-19,5,Approved
LV00261,EMP00987,Sick Leave,2025-08-06,2025-08-15,9,Rejected
LV00262,EMP01185,Paternity Leave,2026-05-11,2026-05-13,2,Pending
LV00263,EMP01646,Casual Leave,2025-09-24,2025-10-03,9,Pending
LV00264,EMP01820,Sick Leave,2025-08-29,2025-09-03,5,Approved
LV00265,EMP00078,Paternity Leave,2025-02-04,2025-02-13,9,Pending
LV00266,EMP01828,Earned Leave,2025-07-21,2025-07-23,2,Rejected
LV00267,EMP01707,Casual Leave,2026-02-27,2026-03-04,5,Pending
LV00268,EMP02844,Unpaid Leave,2025-11-01,2025-11-02,1,Approved
LV00269,EMP95551,Paternity Leave,2025-09-17,2025-09-20,3,Approved
LV00270,EMP00968,Unpaid Leave,2025-09-16,2025-09-23,7,Approved
LV00271,EMP02211,Casual Leave,2025-08-12,2025-08-13,1,Rejected
LV00272,EMP00140,Paternity Leave,2025-07-05,2025-07-09,4,Pending
LV00273,EMP00682,Maternity Leave,2025-02-02,2025-02-03,1,Approved
LV00274,EMP02705,Earned Leave,2025-10-20,2025-10-27,7,Approved
LV00275,EMP03190,Unpaid Leave,2026-04-06,2026-04-10,4,Rejected
LV00276,EMP03152,Maternity Leave,2026-01-17,2026-01-19,2,Approved
LV00277,EMP02776,Sick Leave,2025-02-14,2025-02-19,5,Rejected
LV00278,EMP02544,Maternity Leave,2025-03-13,2025-03-14,1,Approved
LV00279,EMP02855,Unpaid Leave,2026-07-07,2026-07-09,2,Rejected
LV00280,EMP02404,Unpaid Leave,2026-06-26,2026-06-30,4,Rejected
LV00281,EMP02556,Paternity Leave,2026-02-17,2026-02-18,1,Pending
LV00282,EMP00481,Earned Leave,2025-01-18,2025-01-23,5,Rejected
LV00283,EMP01510,Earned Leave,2025-06-08,2025-06-12,4,Approved
LV00284,EMP00816,Sick Leave,2025-04-17,2025-04-22,5,Pending
LV00285,EMP01325,Maternity Leave,2025-02-09,2025-02-14,5,Approved
LV00286,EMP02407,Unpaid Leave,2025-02-10,2025-02-19,9,Pending
LV00287,EMP97614,Paternity Leave,2026-04-27,2026-05-05,8,Pending
LV00288,EMP01699,Unpaid Leave,2026-01-30,2026-02-09,10,Approved
LV00289,EMP01489,Sick Leave,2025-05-28,2025-05-31,3,Pending
LV00290,EMP00344,Paternity Leave,2026-03-31,2026-04-03,3,Rejected
LV00291,EMP02813,Earned Leave,2026-02-04,2026-02-08,4,Pending
LV00292,EMP03113,Maternity Leave,2026-03-20,2026-03-22,2,Rejected
LV00293,EMP01625,Casual Leave,2026-05-05,2026-05-07,2,Rejected
LV00294,EMP02316,Maternity Leave,2025-06-10,2025-06-11,1,Pending
LV00295,EMP00734,Maternity Leave,2025-08-24,2025-08-31,7,Pending
LV00296,EMP01724,Maternity Leave,2025-11-21,2025-11-28,7,Approved
LV00297,EMP00555,Maternity Leave,2025-05-14,2025-05-21,7,Approved
LV00298,EMP02213,Maternity Leave,2026-04-19,2026-04-23,4,Approved
LV00299,EMP02273,Earned Leave,2025-10-20,2025-10-22,2,Approved
LV00300,EMP00571,Unpaid Leave,2026-01-15,2026-01-18,3,Rejected
LV00301,EMP01925,Unpaid Leave,2025-03-29,2025-04-07,9,Rejected
LV00302,EMP00007,Casual Leave,2025-04-29,2025-05-05,6,Rejected
LV00303,EMP01209,Maternity Leave,2026-04-30,2026-05-06,6,Pending
LV00304,EMP01515,Sick Leave,2026-04-29,2026-05-06,7,Rejected
LV00305,EMP01556,Maternity Leave,2025-12-16,2025-12-23,7,Pending
LV00306,EMP01677,Unpaid Leave,2025-06-19,2025-06-29,10,Rejected
LV00307,EMP03136,Unpaid Leave,2026-04-22,2026-04-25,3,Rejected
LV00308,EMP01081,Maternity Leave,2025-01-04,2025-01-08,4,Approved
LV00309,EMP00344,Casual Leave,2025-12-11,2025-12-14,3,Approved
LV00310,EMP02038,Paternity Leave,2026-05-21,2026-05-30,9,Rejected
LV00311,EMP00153,Earned Leave,2025-04-25,2025-05-04,9,Approved
LV00312,EMP01484,Casual Leave,2025-06-23,2025-06-24,1,Approved
LV00313,EMP02624,Sick Leave,2025-05-27,2025-06-04,8,Rejected
LV00314,EMP02771,Casual Leave,2025-07-24,2025-07-28,4,Rejected
LV00315,EMP01606,Paternity Leave,2025-10-13,2025-10-16,3,Approved
LV00316,EMP00034,Casual Leave,2026-03-10,2026-03-20,10,Pending
LV00317,EMP01440,Sick Leave,2025-12-19,2025-12-22,3,Pending
LV00318,EMP00916,Sick Leave,2025-04-19,2025-04-21,2,Pending
LV00319,EMP01862,Paternity Leave,2026-01-09,2026-01-19,10,Pending
LV00320,EMP02624,Maternity Leave,2026-04-01,2026-04-06,5,Approved
LV00321,EMP90571,Maternity Leave,2026-04-04,2026-04-05,1,Rejected
LV00322,EMP00700,Earned Leave,2026-05-07,2026-05-17,10,Rejected
LV00323,EMP01726,Maternity Leave,2026-02-09,2026-02-10,1,Approved
LV00324,EMP00578,Unpaid Leave,2026-01-08,2026-01-16,8,Rejected
LV00325,EMP00347,Sick Leave,2025-06-25,2025-06-27,2,Pending
LV00326,EMP01484,Paternity Leave,2026-03-24,2026-03-28,4,Rejected
LV00327,EMP00904,Casual Leave,2025-04-04,2025-04-08,4,Pending
LV00328,EMP01485,Paternity Leave,2026-03-02,2026-03-03,1,Approved
LV00329,EMP01090,Paternity Leave,2025-08-11,2025-08-12,1,Approved
LV00330,EMP02997,Casual Leave,2025-03-30,2025-04-06,7,Approved
LV00331,EMP01728,Sick Leave,2025-05-25,2025-06-02,8,Pending
LV00332,EMP00504,Maternity Leave,2025-12-07,2025-12-12,5,Approved
LV00333,EMP02224,Casual Leave,2025-09-22,2025-09-23,1,Rejected
LV00334,EMP02719,Maternity Leave,2026-06-07,2026-06-16,9,Pending
LV00335,EMP02994,Earned Leave,2025-06-19,2025-06-22,3,Rejected
LV00336,EMP01375,Paternity Leave,2025-11-27,2025-12-06,9,Rejected
LV00337,EMP02624,Unpaid Leave,2025-09-14,2025-09-24,10,Approved
LV00338,EMP01186,Maternity Leave,2025-11-10,2025-11-16,6,Pending
LV00339,EMP01870,Earned Leave,2026-04-22,2026-04-24,2,Approved
LV00340,EMP01849,Sick Leave,2026-03-10,2026-03-13,3,Approved
LV00341,EMP00352,Sick Leave,2026-05-18,2026-05-20,2,Approved
LV00342,EMP02209,Earned Leave,2025-12-01,2025-12-07,6,Approved
LV00343,EMP00906,Unpaid Leave,2026-03-22,2026-03-23,1,Rejected
LV00344,EMP01068,Paternity Leave,2026-07-03,2026-07-08,5,Rejected
LV00345,EMP01827,Earned Leave,2026-06-11,2026-06-21,10,Pending
LV00346,EMP00516,Unpaid Leave,2026-02-24,2026-03-06,10,Pending
LV00347,EMP00560,Casual Leave,2025-02-22,2025-03-03,9,Rejected
LV00348,EMP00372,Unpaid Leave,2025-11-11,2025-11-18,7,Approved
LV00349,EMP01393,Maternity Leave,2026-06-29,2026-07-01,2,Rejected
LV00350,EMP02147,Unpaid Leave,2026-06-21,2026-06-29,8,Approved
LV00351,EMP00549,Unpaid Leave,2025-06-08,2025-06-16,8,Rejected
LV00352,EMP00809,Paternity Leave,2025-07-29,2025-08-04,6,Approved
LV00353,EMP01346,Casual Leave,2025-10-01,2025-10-03,2,Pending
LV00354,EMP00485,Maternity Leave,2025-09-16,2025-09-25,9,Pending
LV00355,EMP00206,Maternity Leave,2025-08-13,2025-08-20,7,Rejected
LV00356,EMP00757,Maternity Leave,2025-05-10,2025-05-17,7,Pending
LV00357,EMP01498,Unpaid Leave,2026-02-07,2026-02-15,8,Pending
