review_id,employee_id,review_period,performance_rating,productivity_score,promotion_recommended,manager_comments_flag
PRF00042,EMP01353,2024-H2,5,61.6,No,Yes
PRF00043,EMP00590,2024-H1,4,61.5,No,Yes
PRF00044,EMP02212,2025-H2,3,41.2,No,No
PRF00045,EMP01411,2024-H2,1,77.0,No,No
PRF00046,EMP03059,2024-H1,1,56.7,No,No
PRF00047,EMP02824,2024-H1,3,64.0,Yes,Yes
PRF00048,EMP01774,2025-H2,2,49.5,No,Yes
PRF00049,EMP02360,2024-H1,2,63.4,No,Yes
PRF00050,EMP02927,2025-H1,2,64.2,No,Yes
PRF00051,EMP02053,2024-H1,4,44.6,No,No
PRF00052,EMP02394,2024-H1,4,65.0,Yes,Yes
PRF00053,EMP02198,2025-H1,4,62.6,No,No
PRF00054,EMP03134,2025-H2,1,69.9,Yes,No
PRF00055,EMP00537,2026-H1,4,52.7,Yes,No
PRF00056,EMP01615,2025-H1,4,76.8,No,Yes
PRF00057,EMP02190,2025-H2,5,80.7,No,Yes
PRF00058,EMP01346,2025-H2,5,67.2,No,Yes
PRF00059,EMP00664,2024-H1,5,88.6,No,Yes
PRF00060,EMP01219,2024-H1,5,67.8,No,Yes
PRF00061,EMP00148,2026-H1,4,85.5,No,No
PRF00062,EMP01117,2024-H2,1,66.1,No,Yes
PRF00063,EMP01837,2025-H2,4,94.3,No,Yes
PRF00064,EMP00227,2025-H2,4,76.0,No,No
PRF00065,EMP01253,2026-H1,4,70.9,No,Yes
PRF00066,EMP00698,2026-H1,4,45.1,No,No
PRF00067,EMP00093,2026-H1,4,40.7,No,No
PRF00068,EMP93641,2025-H2,3,94.6,No,Yes
PRF00069,EMP02923,2025-H1,,42.5,No,Yes
PRF00070,EMP00063,2024-H2,2,40.3,No,No
PRF00071,EMP00775,2024-H1,3,70.6,No,Yes
PRF00072,EMP00690,2024-H1,5,71.5,No,Yes
PRF00073,EMP97754,2025-H2,3,47.9,No,No
PRF00074,EMP02067,2024-H1,4,78.0,No,Yes
PRF00075,EMP00235,2025-H1,5,74.8,No,Yes
PRF00076,EMP02838,2024-H1,5,47.6,No,No
PRF00077,EMP00043,2026-H1,4,54.9,No,Yes
PRF00078,EMP00658,2024-H1,3,49.5,No,No
PRF00079,EMP00055,2025-H2,4,51.1,No,Yes
PRF00080,EMP01891,2024-H1,5,67.2,No,Yes
PRF00081,EMP01047,2025-H1,4,65.0,No,No
PRF00082,EMP02231,2025-H2,2,44.0,Yes,Yes
PRF00083,EMP02463,2024-H2,4,59.4,No,No
PRF00084,EMP00303,2024-H2,3,43.1,No,No
PRF00085,EMP02083,2024-H1,4,65.3,No,No
PRF00086,EMP02740,2024-H2,4,87.4,No,No
PRF00087,EMP02984,2026-H1,4,88.8,No,Yes
PRF00088,EMP02927,2025-H2,3,86.2,No,Yes
PRF00089,EMP03100,2024-H2,4,76.9,No,No
PRF00090,EMP01781,2024-H1,3,76.6,Yes,Yes
PRF00091,EMP01146,2024-H2,3,59.2,No,Yes
PRF00092,EMP02476,2024-H2,3,97.4,No,No
PRF00093,EMP03081,2025-H1,4,43.0,No,Yes
PRF00094,EMP02385,2024-H2,2,80.3,No,No
PRF00095,EMP00507,2025-H1,4,83.9,No,Yes
PRF00096,EMP02264,2024-H2,1,89.0,No,Yes
PRF00097,EMP03110,2024-H2,4,76.6,No,Yes
PRF00098,EMP00064,2025-H2,3,80.5,No,No
PRF00099,EMP00939,2024-H1,3,40.1,Yes,Yes
PRF00100,EMP01589,2025-H2,4,85.9,No,Yes
PRF00101,EMP01616,2025-H2,3,69.5,No,No
PRF00102,EMP01114,2024-H2,4,78.5,No,Yes
PRF00103,EMP00687,2024-H1,4,51.4,No,Yes
PRF00104,EMP00503,2025-H2,2,96.6,No,Yes
PRF00105,EMP01861,2026-H1,4,8.4,No,Yes
PRF00106,EMP02290,2025-H2,3,96.0,No,Yes
PRF00107,EMP00128,2024-H1,3,69.7,No,No
PRF00108,EMP02009,2024-H1,1,88.3,No,No
PRF00109,EMP00691,2025-H1,3,94.2,Yes,No
PRF00110,EMP00193,2026-H1,5,54.3,Yes,Yes
PRF00111,EMP00042,2025-H2,4,49.8,No,No
PRF00112,EMP02307,2025-H1,4,95.9,No,Yes
PRF00113,EMP00713,2025-H1,3,71.5,No,No
PRF00114,EMP00631,2026-H1,3,41.6,Yes,Yes
PRF00115,EMP01180,2024-H2,3,63.1,No,No
PRF00116,EMP00097,2025-H2,4,62.4,No,Yes
PRF00117,EMP00779,2025-H2,5,56.3,No,Yes
PRF00118,EMP00514,2026-H1,5,63.3,No,No
PRF00119,EMP01109,2026-H1,5,91.8,No,No
PRF00120,EMP02032,2026-H1,5,45.6,Yes,Yes
PRF00121,EMP00741,2025-H1,1,84.7,No,No
PRF00122,EMP02104,2024-H2,4,53.7,Yes,Yes
PRF00123,EMP01094,2026-H1,5,95.3,No,No
PRF00124,EMP02653,2024-H1,4,72.9,No,Yes
PRF00125,EMP00913,2024-H1,3,69.3,Yes,No
PRF00126,EMP01525,2024-H2,5,65.1,No,Yes
PRF00127,EMP02388,2024-H1,5,44.8,No,Yes
PRF00128,EMP01800,2024-H2,,61.4,No,No
PRF00129,EMP01166,2026-H1,1,53.0,No,Yes
PRF00130,EMP01427,2025-H1,3,84.8,No,Yes
PRF00131,EMP03185,2024-H1,4,54.3,No,No
PRF00132,EMP02815,2024-H1,4,43.5,No,No
PRF00133,EMP02404,2025-H1,3,94.7,No,No
PRF00134,EMP01328,2025-H1,3,97.1,No,Yes
PRF00135,EMP03038,2024-H1,4,43.9,No,Yes
PRF00136,EMP01948,2025-H1,,62.6,No,No
PRF00137,EMP00987,2026-H1,4,84.6,Yes,No
PRF00138,EMP02649,2025-H1,5,47.1,No,Yes
PRF00139,EMP02322,2024-H2,3,83.3,Yes,Yes
PRF00140,EMP01990,2026-H1,4,53.1,No,No
PRF00141,EMP02679,2024-H2,3,58.9,No,No
PRF00142,EMP01036,2024-H2,4,40.1,No,Yes
PRF00143,EMP01594,2024-H2,3,80.1,No,Yes
PRF00144,EMP00508,2024-H2,5,65.6,No,Yes
PRF00145,EMP02900,2024-H2,3,55.1,No,No
PRF00146,EMP02272,2026-H1,3,41.0,No,Yes
PRF00147,EMP01882,2025-H1,4,43.2,No,Yes
PRF00148,EMP00679,2024-H1,2,69.8,No,Yes
PRF00149,EMP01621,2025-H2,4,63.6,No,Yes
PRF00150,EMP02397,2025-H1,3,99.1,Yes,Yes
PRF00151,EMP00860,2024-H2,3,72.1,No,Yes
PRF00152,EMP00719,2026-H1,,95.0,No,Yes
PRF00153,EMP00676,2025-H1,3,65.6,No,No
PRF00154,EMP01030,2025-H2,4,78.8,No,No
PRF00155,EMP01289,2026-H1,3,41.5,No,Yes
PRF00156,EMP01220,2025-H2,3,61.6,No,Yes
PRF00157,EMP01831,2024-H2,3,57.5,No,Yes
PRF00158,EMP00584,2026-H1,3,42.3,No,Yes
PRF00159,EMP03163,2024-H2,4,59.7,Yes,No
PRF00160,EMP01385,2025-H1,4,62.1,No,Yes
PRF00161,EMP00303,2024-H1,3,43.8,Yes,No
PRF00162,EMP00836,2024-H1,5,96.7,No,Yes
PRF00163,EMP00881,2024-H2,3,75.6,No,No
PRF00164,EMP01389,2024-H2,5,81.8,No,Yes
PRF00165,EMP00216,2024-H1,4,78.0,Yes,Yes
PRF00166,EMP01495,2025-H1,2,90.1,No,No
PRF00167,EMP97709,2025-H2,4,55.7,Yes,Yes
PRF00168,EMP00753,2025-H1,5,72.8,No,Yes
PRF00169,EMP01483,2025-H2,3,78.0,No,Yes
PRF00170,EMP00562,2024-H2,4,96.6,No,No
PRF00171,EMP02340,2025-H1,5,50.5,Yes,Yes
PRF00172,EMP01838,2024-H1,4,84.1,No,No
PRF00173,EMP03050,2025-H1,1,84.8,Yes,Yes
PRF00174,EMP02113,2025-H1,5,73.9,No,No
PRF00175,EMP01458,2024-H2,3,93.5,No,Yes
PRF00176,EMP02789,2024-H2,3,57.4,Yes,No
PRF00177,EMP01350,2025-H2,4,68.3,Yes,No
PRF00178,EMP00444,2024-H1,3,75.1,No,No
PRF00179,EMP00089,2026-H1,4,41.4,No,Yes
PRF00180,EMP02720,2024-H1,4,53.2,No,No
PRF00181,EMP02110,2024-H1,4,80.7,No,Yes
PRF00182,EMP00418,2025-H1,1,79.1,Yes,No
PRF00183,EMP02878,2024-H1,5,83.3,No,No
PRF00184,EMP02387,2024-H1,5,90.1,Yes,No
PRF00185,EMP00122,2024-H1,3,79.0,No,Yes
PRF00186,EMP01287,2024-H2,2,80.7,No,Yes
PRF00187,EMP02186,2026-H1,2,97.6,Yes,No
PRF00188,EMP01487,2026-H1,4,76.6,No,Yes
PRF00189,EMP02575,2025-H1,3,52.4,No,Yes
PRF00190,EMP00292,2024-H2,3,59.8,No,No
PRF00191,EMP99719,2026-H1,4,65.6,No,Yes
PRF00192,EMP02759,2025-H2,4,82.5,No,No
PRF00193,EMP01619,2025-H2,3,72.9,No,Yes
PRF00194,EMP02310,2025-H1,5,64.3,No,No
PRF00195,EMP02848,2026-H1,2,78.8,No,Yes
PRF00196,EMP00933,2025-H1,4,75.7,Yes,Yes
PRF00197,EMP01517,2024-H1,4,54.1,No,Yes
PRF00198,EMP01360,2025-H1,3,48.2,Yes,Yes
PRF00199,EMP02070,2024-H1,5,53.1,Yes,No
PRF00200,EMP01110,2024-H2,5,86.5,Yes,No
PRF00201,EMP01736,2025-H1,4,48.9,Yes,Yes
PRF00202,EMP01565,2024-H2,3,72.9,Yes,Yes
PRF00203,EMP01215,2025-H1,4,84.9,No,Yes
PRF00204,EMP03030,2024-H1,3,91.7,No,Yes
PRF00205,EMP01642,2025-H2,3,61.8,No,No
PRF00206,EMP02108,2025-H1,5,57.0,No,No
PRF00207,EMP02347,2026-H1,5,77.6,No,Yes
PRF00208,EMP01455,2026-H1,5,58.1,No,No
PRF00209,EMP01269,2024-H1,4,88.0,No,Yes
PRF00210,EMP03069,2026-H1,,72.2,No,No
PRF00211,EMP01609,2024-H2,5,74.8,No,Yes
PRF00212,EMP02633,2025-H2,4,57.4,No,Yes
PRF00213,EMP02270,2024-H2,5,80.5,No,No
PRF00214,EMP03084,2025-H1,5,56.8,Yes,No
PRF00215,EMP90484,2024-H1,1,91.4,No,No
PRF00216,EMP00552,2024-H1,5,40.5,No,Yes
PRF00217,EMP02986,2024-H1,5,73.8,Yes,No
PRF00218,EMP02853,2026-H1,1,55.6,No,Yes
PRF00219,EMP03080,2025-H1,4,53.3,No,Yes
PRF00220,EMP00916,2025-H2,2,96.1,No,Yes
PRF00221,EMP01785,2025-H1,4,47.3,No,Yes
PRF00222,EMP01317,2026-H1,3,77.6,Yes,Yes
PRF00223,EMP00280,2025-H1,3,69.1,No,Yes
PRF00224,EMP00917,2024-H1,3,47.0,No,No
PRF00225,EMP02799,2024-H1,5,82.7,No,No
PRF00226,EMP00367,2026-H1,4,51.0,No,No
PRF00227,EMP02703,2025-H2,3,51.0,No,No
PRF00228,EMP02372,2026-H1,3,70.8,No,No
PRF00229,EMP02650,2024-H1,2,96.9,No,No
PRF00230,EMP01794,2026-H1,3,83.5,No,Yes
PRF00231,EMP00846,2025-H2,4,81.6,Yes,Yes
PRF00232,EMP00655,2025-H1,3,72.8,No,Yes
PRF00233,EMP00004,2025-H1,4,87.5,Yes,No
PRF00234,EMP03145,2026-H1,3,64.8,No,No
PRF00235,EMP02071,2025-H1,2,64.2,No,No
PRF00236,EMP00177,2025-H2,4,99.0,No,No
PRF00237,EMP02073,2024-H2,4,98.7,Yes,No
PRF00238,EMP01947,2024-H1,,56.5,No,No
PRF00239,EMP02968,2025-H2,4,73.8,No,No
PRF00240,EMP00583,2025-H1,2,44.2,No,Yes
PRF00241,EMP02963,2024-H2,5,81.0,Yes,No
PRF00242,EMP02338,2024-H2,4,43.0,No,Yes
PRF00243,EMP00721,2024-H2,4,43.5,No,Yes
PRF00244,EMP03180,2025-H2,2,80.4,No,No
PRF00245,EMP01475,2025-H2,3,73.3,No,Yes
PRF00246,EMP00366,2024-H2,4,85.4,No,No
PRF00247,EMP01931,2024-H1,4,76.6,Yes,Yes
PRF00248,EMP01125,2025-H1,4,61.1,No,No
PRF00249,EMP00697,2024-H1,4,69.0,No,No
PRF00250,EMP00496,2025-H2,3,56.7,No,Yes
PRF00251,EMP00800,2025-H1,4,82.9,No,Yes
PRF00252,EMP02168,2024-H2,4,66.8,Yes,Yes
PRF00253,EMP02228,2025-H2,3,65.3,No,Yes
PRF00254,EMP02553,2024-H2,3,71.8,Yes,Yes
PRF00255,EMP02420,2026-H1,2,69.1,No,Yes
PRF00256,EMP00236,2025-H2,4,91.5,No,No
PRF00257,EMP01062,2024-H1,4,55.5,No,No
PRF00258,EMP00323,2026-H1,,58.9,No,Yes
PRF00259,EMP02706,2024-H2,3,58.3,Yes,Yes
PRF00260,EMP02797,2024-H1,5,91.7,No,No
PRF00261,EMP02944,2024-H2,5,43.5,No,Yes
PRF00262,EMP00608,2025-H1,3,52.5,No,No
PRF00263,EMP01172,2024-H2,4,78.1,Yes,No
PRF00264,EMP02355,2024-H1,1,42.5,No,No
PRF00265,EMP02386,2024-H1,4,84.5,No,Yes
PRF00266,EMP02857,2025-H1,3,66.2,No,No
PRF00267,EMP02311,2024-H2,2,44.6,No,Yes
PRF00268,EMP00979,2025-H2,4,76.5,No,Yes
PRF00269,EMP02436,2026-H1,2,97.1,No,Yes
PRF00270,EMP02438,2024-H2,4,58.1,No,Yes
PRF00271,EMP00945,2025-H2,3,43.5,Yes,Yes
PRF00272,EMP01333,2025-H2,4,83.7,Yes,Yes
PRF00273,EMP03071,2024-H1,5,61.9,No,No
PRF00274,EMP02569,2026-H1,,55.4,No,No
PRF00275,EMP03091,2025-H1,3,65.9,No,Yes
PRF00276,EMP01688,2024-H2,1,70.1,No,Yes
PRF00277,EMP02397,2024-H2,5,4.5,Yes,Yes
PRF00278,EMP01002,2024-H1,3,41.8,No,Yes
PRF00279,EMP02030,2024-H1,4,9.8,No,No
PRF00280,EMP03044,2025-H2,3,44.4,No,Yes
PRF00281,EMP01053,2025-H2,3,73.2,No,No
PRF00282,EMP00911,2025-H1,5,54.3,No,Yes
PRF00283,EMP02976,2025-H1,4,45.0,No,No
PRF00284,EMP00192,2025-H2,,85.7,No,Yes
PRF00285,EMP02613,2025-H2,5,61.3,Yes,Yes
PRF00286,EMP00844,2025-H2,4,96.1,No,No
PRF00287,EMP02224,2024-H1,5,43.4,No,Yes
PRF00288,EMP00205,2026-H1,3,69.2,No,Yes
PRF00289,EMP01634,2024-H1,4,47.5,Yes,Yes
PRF00290,EMP00343,2025-H2,3,87.8,No,Yes
PRF00291,EMP02062,2024-H2,2,77.5,No,No
PRF00292,EMP02451,2026-H1,5,87.3,No,No
PRF00293,EMP02921,2025-H1,4,71.4,Yes,No
PRF00294,EMP02761,2024-H1,3,95.0,No,Yes
PRF00295,EMP01473,2024-H2,3,76.1,No,Yes
PRF00296,EMP00714,2026-H1,4,62.4,No,Yes
PRF00297,EMP02181,2024-H1,3,72.5,No,No
PRF00298,EMP01015,2024-H2,3,61.6,No,No
PRF00299,EMP00876,2024-H1,,89.4,No,Yes
PRF00300,EMP02811,2026-H1,3,62.7,No,No
PRF00301,EMP01030,2024-H2,2,70.0,No,No
PRF00302,EMP02129,2026-H1,3,58.1,No,No
PRF00303,EMP01115,2024-H1,2,67.9,Yes,No
PRF00304,EMP01253,2024-H2,5,63.8,Yes,No
PRF00305,EMP01243,2025-H1,4,53.5,No,Yes
PRF00306,EMP02872,2025-H2,3,43.8,No,No
PRF00307,EMP02512,2025-H2,4,48.9,No,No
PRF00308,EMP02866,2024-H1,5,98.7,No,Yes
PRF00309,EMP02177,2026-H1,3,83.6,No,No
PRF00310,EMP01884,2026-H1,1,96.0,Yes,No
PRF00311,EMP90175,2024-H2,4,91.7,No,Yes
PRF00312,EMP01619,2025-H1,2,50.0,No,Yes
PRF00313,EMP01874,2024-H1,5,72.9,No,No
PRF00314,EMP02452,2025-H2,5,68.2,No,Yes
PRF00315,EMP02650,2025-H1,1,51.6,No,No
PRF00316,EMP00794,2025-H2,4,64.1,No,Yes
PRF00317,EMP00157,2024-H1,3,92.9,No,Yes
PRF00318,EMP02281,2026-H1,5,63.5,Yes,No
PRF00319,EMP00011,2026-H1,1,68.1,No,No
PRF00320,EMP02191,2025-H2,5,77.6,Yes,Yes
PRF00321,EMP02575,2026-H1,4,72.4,No,No
PRF00322,EMP02839,2026-H1,4,64.8,No,Yes
PRF00323,EMP00554,2026-H1,4,58.6,Yes,No
PRF00324,EMP03067,2025-H2,1,55.3,No,No
PRF00325,EMP00235,2024-H2,5,96.3,No,Yes
PRF00326,EMP03020,2026-H1,5,54.2,Yes,No
PRF00327,EMP02543,2024-H2,3,71.6,No,Yes
PRF00328,EMP01136,2025-H2,5,87.0,No,No
PRF00329,EMP00147,2025-H1,2,77.6,No,No
PRF00330,EMP02229,2026-H1,2,52.9,No,No
PRF00331,EMP01391,2024-H1,3,87.5,No,No
PRF00332,EMP01763,2024-H2,4,57.1,Yes,Yes
PRF00333,EMP00125,2024-H1,3,42.4,No,Yes
PRF00334,EMP01032,2024-H2,3,89.7,No,No
PRF00335,EMP02985,2025-H2,1,81.0,No,Yes
PRF00336,EMP02245,2026-H1,5,68.7,No,No
PRF00337,EMP01076,2024-H2,4,79.4,Yes,No
PRF00338,EMP02955,2025-H2,3,58.3,No,Yes
PRF00339,EMP01183,2026-H1,4,43.4,No,No
PRF00340,EMP01110,2025-H1,3,86.9,No,Yes
PRF00341,EMP03164,2025-H2,3,61.9,No,Yes
PRF00342,EMP02647,2025-H2,4,71.9,No,No
PRF00343,EMP02698,2025-H1,5,85.9,No,Yes
PRF00344,EMP02161,2025-H2,3,99.8,No,No
PRF00345,EMP00606,2026-H1,4,42.6,No,No
PRF00346,EMP01960,2026-H1,3,50.7,Yes,No
PRF00347,EMP02770,2025-H2,3,65.3,No,Yes
PRF00348,EMP01194,2024-H2,4,87.3,No,No
PRF00349,EMP01577,2025-H1,2,79.5,Yes,No
PRF00350,EMP02300,2024-H2,,45.5,No,No
PRF00351,EMP02673,2025-H2,4,72.6,No,No
PRF00352,EMP02751,2025-H2,4,62.4,No,Yes
PRF00353,EMP02138,2024-H2,5,55.3,No,No
PRF00354,EMP00630,2025-H1,2,81.7,No,No
PRF00355,EMP02954,2024-H2,3,43.0,No,Yes
PRF00356,EMP02495,2024-H2,3,70.0,No,No
PRF00357,EMP00192,2024-H1,4,99.1,No,No
PRF00358,EMP00100,2025-H1,3,65.3,No,Yes
PRF00359,EMP01186,2025-H2,4,86.2,No,Yes
PRF00360,EMP00210,2024-H2,4,99.0,No,No
PRF00361,EMP01200,2026-H1,3,42.5,No,Yes
PRF00362,EMP01788,2024-H2,4,46.9,No,Yes
PRF00363,EMP02601,2024-H1,3,79.6,No,No
PRF00364,EMP00635,2026-H1,3,83.0,No,No
PRF00365,EMP01346,2024-H2,2,59.2,No,No
PRF00366,EMP01111,2025-H2,5,45.6,Yes,Yes
PRF00367,EMP02897,2025-H1,3,90.2,No,Yes
PRF00368,EMP01642,2024-H2,3,68.7,No,No
PRF00369,EMP00444,2025-H1,4,95.8,No,No
PRF00370,EMP02482,2026-H1,4,71.1,No,No
PRF00371,EMP00847,2024-H2,4,71.4,Yes,No
PRF00372,EMP01669,2026-H1,3,98.5,No,Yes
PRF00373,EMP02775,2026-H1,3,87.6,Yes,Yes
PRF00374,EMP01256,2025-H1,5,94.6,Yes,No
PRF00375,EMP01269,2025-H2,3,80.0,No,Yes
PRF00376,EMP02191,2025-H1,4,92.0,No,Yes
PRF00377,EMP01573,2025-H1,4,62.5,No,Yes
PRF00378,EMP03189,2026-H1,4,73.4,No,No
PRF00379,EMP02687,2025-H2,3,87.6,No,Yes
PRF00380,EMP01727,2025-H1,1,75.0,No,Yes
PRF00381,EMP02301,2024-H2,3,49.7,No,Yes
PRF00382,EMP03200,2025-H1,5,97.3,No,Yes
PRF00383,EMP00347,2025-H2,3,70.0,No,No
PRF00384,EMP02824,2024-H1,4,69.1,Yes,Yes
PRF00385,EMP00152,2025-H1,3,46.8,No,Yes
PRF00386,EMP02729,2024-H1,3,44.4,No,No
PRF00387,EMP00573,2025-H2,5,99.8,Yes,Yes
PRF00388,EMP02023,2025-H1,5,84.5,Yes,Yes
PRF00389,EMP01517,2025-H1,4,65.8,No,No
PRF00390,EMP01857,2024-H2,4,89.1,No,Yes
PRF00391,EMP00305,2026-H1,5,56.0,No,No
PRF00392,EMP01150,2025-H2,5,61.0,Yes,Yes
PRF00393,EMP03048,2024-H2,4,88.0,Yes,Yes
PRF00394,EMP01705,2025-H1,4,43.9,No,No
PRF00395,EMP01677,2024-H2,4,73.6,Yes,Yes
PRF00396,EMP01748,2024-H1,2,71.0,No,Yes
PRF00397,EMP02928,2024-H2,5,60.6,No,No
PRF00398,EMP02392,2025-H1,3,60.2,No,Yes
PRF00399,EMP02159,2024-H1,5,58.4,No,Yes
PRF00400,EMP01515,2024-H1,5,76.2,No,Yes
PRF00401,EMP01547,2024-H1,3,67.0,No,No
PRF00402,EMP01591,2026-H1,2,65.4,No,Yes
PRF00403,EMP00805,2024-H1,4,73.4,No,No
PRF00404,EMP00769,2025-H2,,74.2,No,Yes
PRF00405,EMP00035,2025-H1,3,91.0,Yes,No
PRF00406,EMP03019,2025-H1,4,87.9,Yes,No
PRF00407,EMP01784,2025-H2,4,74.6,Yes,No
PRF00408,EMP02123,2024-H1,3,55.4,No,No
PRF00409,EMP01136,2024-H2,1,57.8,No,Yes
PRF00410,EMP03062,2025-H1,4,65.3,No,No
PRF00411,EMP03011,2025-H1,4,88.7,No,No
PRF00412,EMP02787,2026-H1,4,47.9,No,Yes
PRF00413,EMP01928,2026-H1,3,81.2,No,Yes
PRF00414,EMP00857,2024-H2,3,53.0,No,Yes
PRF00415,EMP01301,2026-H1,3,61.5,No,Yes
PRF00416,EMP01562,2024-H2,4,48.8,No,No
PRF00417,EMP01968,2024-H2,4,50.8,No,No
PRF00418,EMP01835,2025-H1,5,89.4,No,Yes
PRF00419,EMP01333,2025-H2,4,40.3,No,No
PRF00420,EMP00103,2026-H1,4,87.3,No,No
PRF00421,EMP03005,2025-H1,4,62.0,No,No
PRF00422,EMP01625,2025-H2,4,75.9,No,No
PRF00423,EMP00705,2024-H2,,66.0,No,Yes
PRF00424,EMP02522,2025-H1,4,51.3,No,No
PRF00425,EMP02559,2024-H1,4,98.1,Yes,No
PRF00426,EMP03104,2025-H2,4,46.0,No,No
PRF00427,EMP00825,2026-H1,4,41.2,No,No
PRF00428,EMP00070,2025-H1,3,80.8,No,Yes
PRF00429,EMP02521,2025-H2,1,63.7,No,No
PRF00430,EMP02411,2026-H1,3,79.2,No,No
PRF00431,EMP00862,2024-H1,3,99.3,No,Yes
PRF00432,EMP02142,2025-H1,4,64.4,No,Yes
PRF00433,EMP01166,2025-H2,4,70.8,No,No
PRF00434,EMP02280,2024-H2,3,56.8,No,No
PRF00435,EMP00157,2025-H1,1,49.8,Yes,No
PRF00436,EMP02992,2025-H1,3,84.2,No,Yes
PRF00437,EMP01879,2024-H1,4,94.3,Yes,No
PRF00438,EMP02556,2024-H2,5,44.3,No,No
PRF00439,EMP01902,2024-H1,3,91.8,No,Yes
PRF00440,EMP02430,2025-H1,5,54.8,No,Yes
PRF00441,EMP01520,2026-H1,4,56.2,Yes,Yes
PRF00442,EMP01498,2026-H1,2,47.1,No,No
PRF00443,EMP02739,2026-H1,3,79.2,No,No
PRF00444,EMP00424,2025-H2,4,52.0,No,Yes
PRF00445,EMP00778,2026-H1,4,91.8,No,Yes
PRF00446,EMP00005,2024-H1,2,83.2,No,No
PRF00447,EMP00172,2025-H1,4,43.6,No,No
PRF00448,EMP01202,2025-H2,3,65.6,Yes,Yes
PRF00449,EMP02426,2024-H2,3,50.8,No,No
PRF00450,EMP00105,2026-H1,2,80.1,No,Yes
PRF00451,EMP01949,2025-H2,3,88.5,No,No
PRF00452,EMP00613,2024-H1,3,80.9,No,No
PRF00453,EMP01755,2024-H1,3,52.7,No,Yes
PRF00454,EMP02336,2025-H2,2,69.9,No,Yes
PRF00455,EMP02297,2024-H1,4,87.6,No,No
PRF00456,EMP00322,2024-H1,3,95.7,No,No
PRF00457,EMP00333,2024-H1,4,72.9,No,Yes
PRF00458,EMP00411,2024-H2,4,81.0,No,No
PRF00459,EMP02882,2025-H1,4,84.1,No,Yes
PRF00460,EMP00703,2024-H1,,71.2,No,Yes
PRF00461,EMP00459,2025-H2,2,74.6,No,Yes
PRF00462,EMP02038,2025-H1,2,87.2,No,Yes
PRF00463,EMP01701,2025-H1,5,3.5,Yes,Yes
PRF00464,EMP02716,2025-H2,5,99.1,No,Yes
PRF00465,EMP01416,2024-H2,4,90.8,Yes,Yes
PRF00466,EMP00366,2026-H1,5,63.4,No,Yes
PRF00467,EMP03100,2024-H2,1,54.2,No,No
PRF00468,EMP00187,2024-H1,4,42.6,No,No
PRF00469,EMP02176,2024-H2,4,66.1,No,Yes
PRF00470,EMP02839,2026-H1,4,89.5,No,No
PRF00471,EMP00613,2025-H2,3,68.3,No,No
PRF00472,EMP00326,2024-H2,3,54.6,Yes,No
PRF00473,EMP02537,2024-H2,1,91.1,No,No
